TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
7.78,5.5,4,2,6,7.5,6.5,1
3.08,7.2,12,0.7,5,4,5.5,0
4.93,5.9,6,0.7,6.5,5.5,5,0
8.38,6.9,5,2,7,8,5.5,1
6.01,2,8,0.5,2.5,7,6,0
7.27,8.8,10,3,8,7.5,8,1
9.46,6.1,2,3,7,8.5,7.5,1
7.98,5.9,8,1,5,5.5,6,1
4.5,5.4,22,0.5,5,0,0,0
5.08,8.9,10,2,9,6,6,1
7.64,1,8,0.5,2,8.5,3,0
7.19,6.1,0,1,6,8,5.5,1
6.68,6.4,11,2,6,7,7.5,1
7.32,2.8,0,0.7,3,8,5,0
