TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
7.48,8.4,4,2,8,7.5,6.5,1
5.02,3.2,2,0.5,3.5,5,4,0
7.93,8.4,2,2,8,7,5,1
7.05,8,4,3,10,8,7.5,1
5.55,4.3,6,0.5,5,6,5,0
6.62,7.7,0,2,8,7,6,1
3.46,6.1,8,1,8,5,5.5,0
4.32,7.2,40,0,0,0,0,0
6.27,8.3,4,2,7.5,7,6,1
7.92,3.9,2,0.5,4,7,4,0
7.63,6.4,6,2,6,7.5,7.5,1
5.53,6.1,4,0.5,5.5,6,4,0
8.07,6.1,8,2,6,7.5,5,1
8.23,5.1,6,2,6.5,8,7.5,1
