TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
5.46,7.4,6,1.5,8,4,7.5,1
6.4,8.6,0,1,8,4,7,1
5.44,6.1,0,1,6.5,5,7,1
3.18,3.3,2,0.5,3,4,3,0
6.91,7.1,4,2,7.5,7.5,6.5,1
4.41,2.5,0,0.5,2.5,4,3.5,0
4.49,3,0,0.5,3,4,4,0
5.5,5.7,2,2,6.5,7.5,7.5,1
3.29,5.9,0,0.5,5,3,5,0
5.28,9.1,0,2,9,5,6,1
7.5,9.1,4,2,8.5,4.5,9,1
6.94,5,4,0.5,4.5,6,4,0
1.4,7.2,8,0.5,6.5,2,4,0
7.92,9.1,0,3,9.5,7.5,8,1
