TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
7.4,5.6,7,1.8,6.5,7,5.5,0
7.39,6.1,0,3.1,6,8,7,1
7.38,7.5,5,1.4,8.5,8,8.5,1
7.38,6.5,3,2.8,5.5,7,7,1
7.36,8.4,7,1.9,8,7,5,1
7.32,8.9,9,2.1,8,7,8,1
7.32,8.5,8,1.8,8,7.5,5,1
7.32,8.2,4,1.5,9,7,6,1
7.3,8.3,2,3.1,7.5,6.5,6,1
7.3,8,10,2.6,8,7.5,6.5,1
7.29,6.9,11,1.9,7,7,6,1
7.29,6.7,8,2.2,6,7,7,1
7.27,9.8,0,1.8,9,7,6,1
7.27,8.6,1,1.4,8,6.5,7.5,1
7.27,5.5,0,2.7,6.5,7,6,1
7.26,6.2,8,1.4,7,6.5,5.5,0
7.26,5.5,1,2.1,4.5,7,6.5,0
7.25,7.4,2,1.9,7,8,5,1
7.24,5.6,3,1.1,6.5,7,7.5,1
7.23,5.5,8,2.8,5,6.5,8.5,1
7.23,4.7,9,3,5,6.5,7.5,0
7.21,6.8,3,1.3,7.5,7.5,7,1
7.21,6,8,3,6.5,7,5.5,0
7.2,5.7,5,2.8,6,7,6.5,1
7.18,8.2,4,2.8,8,7,5,1
7.18,5.9,6,2.1,6,6.5,7,1
7.17,5.3,2,2.1,6,8,6.5,1
7.17,4.9,12,1.6,5.5,7.5,6,0
7.16,8.6,1,2.6,8.5,7.5,8,1
7.15,5.3,5,1.7,5,7.5,8,1
7.14,7.5,7,1.9,8,6.5,6,1
7.13,4.9,11,1.9,5.5,6.5,7,0
7.11,8.1,7,2.6,7.5,7.5,7,1
7.09,6.8,5,1.6,6.5,8,5.5,1
7.09,5.3,2,1.4,6,7.5,5.5,0
7.07,9,3,2.3,8,7.5,5.5,1
7.07,6.9,1,2.2,6,7.5,5.5,0
7.06,9.6,7,1.4,9.5,6.5,8,1
7.06,8.9,8,3,9,7.5,7,1
7.05,8.3,10,1.4,8,7,8,1
7.05,5.1,2,2.7,3,6.5,7.5,0
7.04,6.3,7,1.7,7,7,6.5,1
7.02,7.4,2,2.9,8,7.5,5.5,1
7.02,6.4,8,2.9,6,6.5,6,0
7.01,5.3,10,2.6,6,7,9,1
7,8.6,9,2.9,9,6.5,8.5,1
6.99,8.5,9,1.4,7.5,7,6,1
6.98,8.5,11,2.7,9.5,6,6.5,1
6.98,6.5,7,1.9,6.5,7,7,1
6.97,7.7,10,2.8,8,6.5,7,1
6.95,6.5,6,3,7,7,8.5,1
6.94,8.5,10,1.6,8,7.5,6.5,1
6.94,4.8,3,2.1,5,6,7,0
6.93,6.2,1,2.8,7,7.5,7.5,1
6.91,7.6,8,2,7,7,7,1
6.88,8.8,9,2.5,9,6.5,9,1
6.88,7.7,6,1.7,8.5,6,6,1
6.86,9.5,0,2.1,9,7,7,1
6.84,8.9,5,2.4,8.5,7,8,1
6.84,8.9,11,1.6,9,6.5,6,1
6.81,8.7,3,2.4,8.5,7.5,6.5,1
6.8,8.4,10,2.6,9,7,6,1
6.8,7.5,3,1.5,5,7,6.5,1
6.8,5.6,6,2.1,4.5,7.5,8,1
6.77,8.3,0,2.7,8.5,6,6.5,1
