TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
6.35,8.4,4,2,8,6.5,4,1
7.09,7.1,2,1.5,6,5.5,5,1
6.06,3.7,4,0.5,4.5,6.5,3.5,0
8.52,7.7,0,3,8.5,8,6,1
7.19,8.6,0,1,8.5,7,3.5,1
6.85,7.5,2,2,8,7.5,6,1
5.35,3.6,4,0.5,3.5,6,2,0
6.95,8,2,1,8.5,7,4,1
6.21,6.3,0,0.7,6,7,6,1
7.34,9.5,0,2,9,7.5,5.5,1
8.07,8.3,0,2,9,8,4,1
7.58,6.7,2,1,6,7.5,4.5,1
7.62,5.5,0,2,5.5,7.5,6,1
7.34,5.2,2,0.5,4.5,7,1.5,0
